Season,Round,Race Name,Date,Time (UTC),Circuit,Location,Country
1977,12,Austrian Grand Prix,1977-08-14,Unknown,Red Bull Ring,Spielberg,Austria
1977,13,Dutch Grand Prix,1977-08-28,Unknown,Circuit Park Zandvoort,Zandvoort,Netherlands
1977,14,Italian Grand Prix,1977-09-11,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1977,15,United States Grand Prix,1977-10-02,Unknown,Watkins Glen,New York State,USA
1977,16,Canadian Grand Prix,1977-10-09,Unknown,Mosport International Raceway,Ontario,Canada
1977,17,Japanese Grand Prix,1977-10-23,Unknown,Fuji Speedway,Oyama,Japan
1978,1,Argentine Grand Prix,1978-01-15,Unknown,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina
1978,2,Brazilian Grand Prix,1978-01-29,Unknown,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil
1978,3,South African Grand Prix,1978-03-04,Unknown,Kyalami,Midrand,South Africa
1978,4,United States Grand Prix West,1978-04-02,Unknown,Long Beach,California,USA
1978,5,Monaco Grand Prix,1978-05-07,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1978,6,Belgian Grand Prix,1978-05-21,Unknown,Zolder,Heusden-Zolder,Belgium
1978,7,Spanish Grand Prix,1978-06-04,Unknown,Jarama,Madrid,Spain
1978,8,Swedish Grand Prix,1978-06-17,Unknown,Scandinavian Raceway,Anderstorp,Sweden
1978,9,French Grand Prix,1978-07-02,Unknown,Circuit Paul Ricard,Le Castellet,France
1978,10,British Grand Prix,1978-07-16,Unknown,Brands Hatch,Kent,UK
1978,11,German Grand Prix,1978-07-30,Unknown,Hockenheimring,Hockenheim,Germany
1978,12,Austrian Grand Prix,1978-08-13,Unknown,Red Bull Ring,Spielberg,Austria
1978,13,Dutch Grand Prix,1978-08-27,Unknown,Circuit Park Zandvoort,Zandvoort,Netherlands
1978,14,Italian Grand Prix,1978-09-10,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1978,15,United States Grand Prix,1978-10-01,Unknown,Watkins Glen,New York State,USA
1978,16,Canadian Grand Prix,1978-10-08,Unknown,Circuit Gilles Villeneuve,Montreal,Canada
1979,1,Argentine Grand Prix,1979-01-21,Unknown,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina
1979,2,Brazilian Grand Prix,1979-02-04,Unknown,Autódromo José Carlos Pace,São Paulo,Brazil
1979,3,South African Grand Prix,1979-03-03,Unknown,Kyalami,Midrand,South Africa
1979,4,United States Grand Prix West,1979-04-08,Unknown,Long Beach,California,USA
1979,5,Spanish Grand Prix,1979-04-29,Unknown,Jarama,Madrid,Spain
1979,6,Belgian Grand Prix,1979-05-13,Unknown,Zolder,Heusden-Zolder,Belgium
1979,7,Monaco Grand Prix,1979-05-27,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1979,8,French Grand Prix,1979-07-01,Unknown,Dijon-Prenois,Dijon,France
1979,9,British Grand Prix,1979-07-14,Unknown,Silverstone Circuit,Silverstone,UK
1979,10,German Grand Prix,1979-07-29,Unknown,Hockenheimring,Hockenheim,Germany
1979,11,Austrian Grand Prix,1979-08-12,Unknown,Red Bull Ring,Spielberg,Austria
1979,12,Dutch Grand Prix,1979-08-26,Unknown,Circuit Park Zandvoort,Zandvoort,Netherlands
1979,13,Italian Grand Prix,1979-09-09,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1979,14,Canadian Grand Prix,1979-09-30,Unknown,Circuit Gilles Villeneuve,Montreal,Canada
1979,15,United States Grand Prix,1979-10-07,Unknown,Watkins Glen,New York State,USA
1980,1,Argentine Grand Prix,1980-01-13,Unknown,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina
1980,2,Brazilian Grand Prix,1980-01-27,Unknown,Autódromo José Carlos Pace,São Paulo,Brazil
1980,3,South African Grand Prix,1980-03-01,Unknown,Kyalami,Midrand,South Africa
1980,4,United States Grand Prix West,1980-03-30,Unknown,Long Beach,California,USA
1980,5,Belgian Grand Prix,1980-05-04,Unknown,Zolder,Heusden-Zolder,Belgium
1980,6,Monaco Grand Prix,1980-05-18,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1980,7,French Grand Prix,1980-06-29,Unknown,Circuit Paul Ricard,Le Castellet,France
1980,8,British Grand Prix,1980-07-13,Unknown,Brands Hatch,Kent,UK
1980,9,German Grand Prix,1980-08-10,Unknown,Hockenheimring,Hockenheim,Germany
1980,10,Austrian Grand Prix,1980-08-17,Unknown,Red Bull Ring,Spielberg,Austria
1980,11,Dutch Grand Prix,1980-08-31,Unknown,Circuit Park Zandvoort,Zandvoort,Netherlands
1980,12,Italian Grand Prix,1980-09-14,Unknown,Autodromo Enzo e Dino Ferrari,Imola,Italy
1980,13,Canadian Grand Prix,1980-09-28,Unknown,Circuit Gilles Villeneuve,Montreal,Canada
1980,14,United States Grand Prix,1980-10-05,Unknown,Watkins Glen,New York State,USA
1981,1,United States Grand Prix West,1981-03-15,Unknown,Long Beach,California,USA
1981,2,Brazilian Grand Prix,1981-03-29,Unknown,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil
1981,3,Argentine Grand Prix,1981-04-12,Unknown,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina
1981,4,San Marino Grand Prix,1981-05-03,Unknown,Autodromo Enzo e Dino Ferrari,Imola,Italy
1981,5,Belgian Grand Prix,1981-05-17,Unknown,Zolder,Heusden-Zolder,Belgium
1981,6,Monaco Grand Prix,1981-05-31,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1981,7,Spanish Grand Prix,1981-06-21,Unknown,Jarama,Madrid,Spain
1981,8,French Grand Prix,1981-07-05,Unknown,Dijon-Prenois,Dijon,France
1981,9,British Grand Prix,1981-07-18,Unknown,Silverstone Circuit,Silverstone,UK
1981,10,German Grand Prix,1981-08-02,Unknown,Hockenheimring,Hockenheim,Germany
1981,11,Austrian Grand Prix,1981-08-16,Unknown,Red Bull Ring,Spielberg,Austria
1981,12,Dutch Grand Prix,1981-08-30,Unknown,Circuit Park Zandvoort,Zandvoort,Netherlands
1981,13,Italian Grand Prix,1981-09-13,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1981,14,Canadian Grand Prix,1981-09-27,Unknown,Circuit Gilles Villeneuve,Montreal,Canada
1981,15,Caesars Palace Grand Prix,1981-10-17,Unknown,Las Vegas Street Circuit,Nevada,USA
1982,1,South African Grand Prix,1982-01-23,Unknown,Kyalami,Midrand,South Africa
1982,2,Brazilian Grand Prix,1982-03-21,Unknown,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil
1982,3,United States Grand Prix West,1982-04-04,Unknown,Long Beach,California,USA
1982,4,San Marino Grand Prix,1982-04-25,Unknown,Autodromo Enzo e Dino Ferrari,Imola,Italy
1982,5,Belgian Grand Prix,1982-05-09,Unknown,Zolder,Heusden-Zolder,Belgium
1982,6,Monaco Grand Prix,1982-05-23,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1982,7,Detroit Grand Prix,1982-06-06,Unknown,Detroit Street Circuit,Detroit,USA
1982,8,Canadian Grand Prix,1982-06-13,Unknown,Circuit Gilles Villeneuve,Montreal,Canada
1982,9,Dutch Grand Prix,1982-07-03,Unknown,Circuit Park Zandvoort,Zandvoort,Netherlands
1982,10,British Grand Prix,1982-07-18,Unknown,Brands Hatch,Kent,UK
1982,11,French Grand Prix,1982-07-25,Unknown,Circuit Paul Ricard,Le Castellet,France
1982,12,German Grand Prix,1982-08-08,Unknown,Hockenheimring,Hockenheim,Germany
1982,13,Austrian Grand Prix,1982-08-15,Unknown,Red Bull Ring,Spielberg,Austria
1982,14,Swiss Grand Prix,1982-08-29,Unknown,Dijon-Prenois,Dijon,France
1982,15,Italian Grand Prix,1982-09-12,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1982,16,Caesars Palace Grand Prix,1982-09-25,Unknown,Las Vegas Street Circuit,Nevada,USA
1983,1,Brazilian Grand Prix,1983-03-13,Unknown,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil
1983,2,United States Grand Prix West,1983-03-27,Unknown,Long Beach,California,USA
1983,3,French Grand Prix,1983-04-17,Unknown,Circuit Paul Ricard,Le Castellet,France
1983,4,San Marino Grand Prix,1983-05-01,Unknown,Autodromo Enzo e Dino Ferrari,Imola,Italy
1983,5,Monaco Grand Prix,1983-05-15,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1983,6,Belgian Grand Prix,1983-05-22,Unknown,Circuit de Spa-Francorchamps,Spa,Belgium
1983,7,Detroit Grand Prix,1983-06-05,Unknown,Detroit Street Circuit,Detroit,USA
1983,8,Canadian Grand Prix,1983-06-12,Unknown,Circuit Gilles Villeneuve,Montreal,Canada
1983,9,British Grand Prix,1983-07-16,Unknown,Silverstone Circuit,Silverstone,UK
1983,10,German Grand Prix,1983-08-07,Unknown,Hockenheimring,Hockenheim,Germany
1983,11,Austrian Grand Prix,1983-08-14,Unknown,Red Bull Ring,Spielberg,Austria
1983,12,Dutch Grand Prix,1983-08-28,Unknown,Circuit Park Zandvoort,Zandvoort,Netherlands
1983,13,Italian Grand Prix,1983-09-11,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1983,14,European Grand Prix,1983-09-25,Unknown,Brands Hatch,Kent,UK
1983,15,South African Grand Prix,1983-10-15,Unknown,Kyalami,Midrand,South Africa
1984,1,Brazilian Grand Prix,1984-03-25,Unknown,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil
1984,2,South African Grand Prix,1984-04-07,Unknown,Kyalami,Midrand,South Africa
1984,3,Belgian Grand Prix,1984-04-29,Unknown,Zolder,Heusden-Zolder,Belgium
1984,4,San Marino Grand Prix,1984-05-06,Unknown,Autodromo Enzo e Dino Ferrari,Imola,Italy
1984,5,French Grand Prix,1984-05-20,Unknown,Dijon-Prenois,Dijon,France
1984,6,Monaco Grand Prix,1984-06-03,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1984,7,Canadian Grand Prix,1984-06-17,Unknown,Circuit Gilles Villeneuve,Montreal,Canada
1984,8,Detroit Grand Prix,1984-06-24,Unknown,Detroit Street Circuit,Detroit,USA
1984,9,Dallas Grand Prix,1984-07-08,Unknown,Fair Park,Dallas,USA
1984,10,British Grand Prix,1984-07-22,Unknown,Brands Hatch,Kent,UK
1984,11,German Grand Prix,1984-08-05,Unknown,Hockenheimring,Hockenheim,Germany
1984,12,Austrian Grand Prix,1984-08-19,Unknown,Red Bull Ring,Spielberg,Austria
1984,13,Dutch Grand Prix,1984-08-26,Unknown,Circuit Park Zandvoort,Zandvoort,Netherlands
1984,14,Italian Grand Prix,1984-09-09,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1984,15,European Grand Prix,1984-10-07,Unknown,Nürburgring,Nürburg,Germany
1984,16,Portuguese Grand Prix,1984-10-21,Unknown,Autódromo do Estoril,Estoril,Portugal
1985,1,Brazilian Grand Prix,1985-04-07,Unknown,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil
1985,2,Portuguese Grand Prix,1985-04-21,Unknown,Autódromo do Estoril,Estoril,Portugal
1985,3,San Marino Grand Prix,1985-05-05,Unknown,Autodromo Enzo e Dino Ferrari,Imola,Italy
1985,4,Monaco Grand Prix,1985-05-19,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1985,5,Canadian Grand Prix,1985-06-16,Unknown,Circuit Gilles Villeneuve,Montreal,Canada
1985,6,Detroit Grand Prix,1985-06-23,Unknown,Detroit Street Circuit,Detroit,USA
1985,7,French Grand Prix,1985-07-07,Unknown,Circuit Paul Ricard,Le Castellet,France
1985,8,British Grand Prix,1985-07-21,Unknown,Silverstone Circuit,Silverstone,UK
1985,9,German Grand Prix,1985-08-04,Unknown,Nürburgring,Nürburg,Germany
1985,10,Austrian Grand Prix,1985-08-18,Unknown,Red Bull Ring,Spielberg,Austria
1985,11,Dutch Grand Prix,1985-08-25,Unknown,Circuit Park Zandvoort,Zandvoort,Netherlands
1985,12,Italian Grand Prix,1985-09-08,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1985,13,Belgian Grand Prix,1985-09-15,Unknown,Circuit de Spa-Francorchamps,Spa,Belgium
1985,14,European Grand Prix,1985-10-06,Unknown,Brands Hatch,Kent,UK
1985,15,South African Grand Prix,1985-10-19,Unknown,Kyalami,Midrand,South Africa
1985,16,Australian Grand Prix,1985-11-03,Unknown,Adelaide Street Circuit,Adelaide,Australia
1986,1,Brazilian Grand Prix,1986-03-23,Unknown,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil
1986,2,Spanish Grand Prix,1986-04-13,Unknown,Circuito de Jerez,Jerez de la Frontera,Spain
1986,3,San Marino Grand Prix,1986-04-27,Unknown,Autodromo Enzo e Dino Ferrari,Imola,Italy
1986,4,Monaco Grand Prix,1986-05-11,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1986,5,Belgian Grand Prix,1986-05-25,Unknown,Circuit de Spa-Francorchamps,Spa,Belgium
1986,6,Canadian Grand Prix,1986-06-15,Unknown,Circuit Gilles Villeneuve,Montreal,Canada
1986,7,Detroit Grand Prix,1986-06-22,Unknown,Detroit Street Circuit,Detroit,USA
1986,8,French Grand Prix,1986-07-06,Unknown,Circuit Paul Ricard,Le Castellet,France
1986,9,British Grand Prix,1986-07-13,Unknown,Brands Hatch,Kent,UK
1986,10,German Grand Prix,1986-07-27,Unknown,Hockenheimring,Hockenheim,Germany
1986,11,Hungarian Grand Prix,1986-08-10,Unknown,Hungaroring,Budapest,Hungary
1986,12,Austrian Grand Prix,1986-08-17,Unknown,Red Bull Ring,Spielberg,Austria
1986,13,Italian Grand Prix,1986-09-07,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1986,14,Portuguese Grand Prix,1986-09-21,Unknown,Autódromo do Estoril,Estoril,Portugal
1986,15,Mexican Grand Prix,1986-10-12,Unknown,Autódromo Hermanos Rodríguez,Mexico City,Mexico
1986,16,Australian Grand Prix,1986-10-26,Unknown,Adelaide Street Circuit,Adelaide,Australia
1987,1,Brazilian Grand Prix,1987-04-12,Unknown,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil
1987,2,San Marino Grand Prix,1987-05-03,Unknown,Autodromo Enzo e Dino Ferrari,Imola,Italy
1987,3,Belgian Grand Prix,1987-05-17,Unknown,Circuit de Spa-Francorchamps,Spa,Belgium
1987,4,Monaco Grand Prix,1987-05-31,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1987,5,Detroit Grand Prix,1987-06-21,Unknown,Detroit Street Circuit,Detroit,USA
1987,6,French Grand Prix,1987-07-05,Unknown,Circuit Paul Ricard,Le Castellet,France
1987,7,British Grand Prix,1987-07-12,Unknown,Silverstone Circuit,Silverstone,UK
1987,8,German Grand Prix,1987-07-26,Unknown,Hockenheimring,Hockenheim,Germany
1987,9,Hungarian Grand Prix,1987-08-09,Unknown,Hungaroring,Budapest,Hungary
1987,10,Austrian Grand Prix,1987-08-16,Unknown,Red Bull Ring,Spielberg,Austria
1987,11,Italian Grand Prix,1987-09-06,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1987,12,Portuguese Grand Prix,1987-09-20,Unknown,Autódromo do Estoril,Estoril,Portugal
1987,13,Spanish Grand Prix,1987-09-27,Unknown,Circuito de Jerez,Jerez de la Frontera,Spain
1987,14,Mexican Grand Prix,1987-10-18,Unknown,Autódromo Hermanos Rodríguez,Mexico City,Mexico
1987,15,Japanese Grand Prix,1987-11-01,Unknown,Suzuka Circuit,Suzuka,Japan
1987,16,Australian Grand Prix,1987-11-15,Unknown,Adelaide Street Circuit,Adelaide,Australia
1988,1,Brazilian Grand Prix,1988-04-03,Unknown,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil
1988,2,San Marino Grand Prix,1988-05-01,Unknown,Autodromo Enzo e Dino Ferrari,Imola,Italy
1988,3,Monaco Grand Prix,1988-05-15,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1988,4,Mexican Grand Prix,1988-05-29,Unknown,Autódromo Hermanos Rodríguez,Mexico City,Mexico
1988,5,Canadian Grand Prix,1988-06-12,Unknown,Circuit Gilles Villeneuve,Montreal,Canada
1988,6,Detroit Grand Prix,1988-06-19,Unknown,Detroit Street Circuit,Detroit,USA
1988,7,French Grand Prix,1988-07-03,Unknown,Circuit Paul Ricard,Le Castellet,France
1988,8,British Grand Prix,1988-07-10,Unknown,Silverstone Circuit,Silverstone,UK
1988,9,German Grand Prix,1988-07-24,Unknown,Hockenheimring,Hockenheim,Germany
1988,10,Hungarian Grand Prix,1988-08-07,Unknown,Hungaroring,Budapest,Hungary
1988,11,Belgian Grand Prix,1988-08-28,Unknown,Circuit de Spa-Francorchamps,Spa,Belgium
1988,12,Italian Grand Prix,1988-09-11,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1988,13,Portuguese Grand Prix,1988-09-25,Unknown,Autódromo do Estoril,Estoril,Portugal
1988,14,Spanish Grand Prix,1988-10-02,Unknown,Circuito de Jerez,Jerez de la Frontera,Spain
1988,15,Japanese Grand Prix,1988-10-30,Unknown,Suzuka Circuit,Suzuka,Japan
1988,16,Australian Grand Prix,1988-11-13,Unknown,Adelaide Street Circuit,Adelaide,Australia
1989,1,Brazilian Grand Prix,1989-03-26,Unknown,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil
1989,2,San Marino Grand Prix,1989-04-23,Unknown,Autodromo Enzo e Dino Ferrari,Imola,Italy
1989,3,Monaco Grand Prix,1989-05-07,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1989,4,Mexican Grand Prix,1989-05-28,Unknown,Autódromo Hermanos Rodríguez,Mexico City,Mexico
1989,5,United States Grand Prix,1989-06-04,Unknown,Phoenix street circuit,Phoenix,USA
1989,6,Canadian Grand Prix,1989-06-18,Unknown,Circuit Gilles Villeneuve,Montreal,Canada
1989,7,French Grand Prix,1989-07-09,Unknown,Circuit Paul Ricard,Le Castellet,France
1989,8,British Grand Prix,1989-07-16,Unknown,Silverstone Circuit,Silverstone,UK
1989,9,German Grand Prix,1989-07-30,Unknown,Hockenheimring,Hockenheim,Germany
1989,10,Hungarian Grand Prix,1989-08-13,Unknown,Hungaroring,Budapest,Hungary
1989,11,Belgian Grand Prix,1989-08-27,Unknown,Circuit de Spa-Francorchamps,Spa,Belgium
1989,12,Italian Grand Prix,1989-09-10,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1989,13,Portuguese Grand Prix,1989-09-24,Unknown,Autódromo do Estoril,Estoril,Portugal
1989,14,Spanish Grand Prix,1989-10-01,Unknown,Circuito de Jerez,Jerez de la Frontera,Spain
1989,15,Japanese Grand Prix,1989-10-22,Unknown,Suzuka Circuit,Suzuka,Japan
1989,16,Australian Grand Prix,1989-11-05,Unknown,Adelaide Street Circuit,Adelaide,Australia
1990,1,United States Grand Prix,1990-03-11,Unknown,Phoenix street circuit,Phoenix,USA
1990,2,Brazilian Grand Prix,1990-03-25,Unknown,Autódromo José Carlos Pace,São Paulo,Brazil
1990,3,San Marino Grand Prix,1990-05-13,Unknown,Autodromo Enzo e Dino Ferrari,Imola,Italy
1990,4,Monaco Grand Prix,1990-05-27,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1990,5,Canadian Grand Prix,1990-06-10,Unknown,Circuit Gilles Villeneuve,Montreal,Canada
1990,6,Mexican Grand Prix,1990-06-24,Unknown,Autódromo Hermanos Rodríguez,Mexico City,Mexico
1990,7,French Grand Prix,1990-07-08,Unknown,Circuit Paul Ricard,Le Castellet,France
1990,8,British Grand Prix,1990-07-15,Unknown,Silverstone Circuit,Silverstone,UK
1990,9,German Grand Prix,1990-07-29,Unknown,Hockenheimring,Hockenheim,Germany
1990,10,Hungarian Grand Prix,1990-08-12,Unknown,Hungaroring,Budapest,Hungary
1990,11,Belgian Grand Prix,1990-08-26,Unknown,Circuit de Spa-Francorchamps,Spa,Belgium
1990,12,Italian Grand Prix,1990-09-09,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1990,13,Portuguese Grand Prix,1990-09-23,Unknown,Autódromo do Estoril,Estoril,Portugal
1990,14,Spanish Grand Prix,1990-09-30,Unknown,Circuito de Jerez,Jerez de la Frontera,Spain
1990,15,Japanese Grand Prix,1990-10-21,Unknown,Suzuka Circuit,Suzuka,Japan
1990,16,Australian Grand Prix,1990-11-04,Unknown,Adelaide Street Circuit,Adelaide,Australia
1991,1,United States Grand Prix,1991-03-10,Unknown,Phoenix street circuit,Phoenix,USA
1991,2,Brazilian Grand Prix,1991-03-24,Unknown,Autódromo José Carlos Pace,São Paulo,Brazil
1991,3,San Marino Grand Prix,1991-04-28,Unknown,Autodromo Enzo e Dino Ferrari,Imola,Italy
1991,4,Monaco Grand Prix,1991-05-12,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1991,5,Canadian Grand Prix,1991-06-02,Unknown,Circuit Gilles Villeneuve,Montreal,Canada
1991,6,Mexican Grand Prix,1991-06-16,Unknown,Autódromo Hermanos Rodríguez,Mexico City,Mexico
1991,7,French Grand Prix,1991-07-07,Unknown,Circuit de Nevers Magny-Cours,Magny Cours,France
1991,8,British Grand Prix,1991-07-14,Unknown,Silverstone Circuit,Silverstone,UK
1991,9,German Grand Prix,1991-07-28,Unknown,Hockenheimring,Hockenheim,Germany
1991,10,Hungarian Grand Prix,1991-08-11,Unknown,Hungaroring,Budapest,Hungary
1991,11,Belgian Grand Prix,1991-08-25,Unknown,Circuit de Spa-Francorchamps,Spa,Belgium
1991,12,Italian Grand Prix,1991-09-08,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1991,13,Portuguese Grand Prix,1991-09-22,Unknown,Autódromo do Estoril,Estoril,Portugal
1991,14,Spanish Grand Prix,1991-09-29,Unknown,Circuit de Barcelona-Catalunya,Montmeló,Spain
1991,15,Japanese Grand Prix,1991-10-20,Unknown,Suzuka Circuit,Suzuka,Japan
1991,16,Australian Grand Prix,1991-11-03,Unknown,Adelaide Street Circuit,Adelaide,Australia
1992,1,South African Grand Prix,1992-03-01,Unknown,Kyalami,Midrand,South Africa
1992,2,Mexican Grand Prix,1992-03-22,Unknown,Autódromo Hermanos Rodríguez,Mexico City,Mexico
1992,3,Brazilian Grand Prix,1992-04-05,Unknown,Autódromo José Carlos Pace,São Paulo,Brazil
1992,4,Spanish Grand Prix,1992-05-03,Unknown,Circuit de Barcelona-Catalunya,Montmeló,Spain
1992,5,San Marino Grand Prix,1992-05-17,Unknown,Autodromo Enzo e Dino Ferrari,Imola,Italy
1992,6,Monaco Grand Prix,1992-05-31,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1992,7,Canadian Grand Prix,1992-06-14,Unknown,Circuit Gilles Villeneuve,Montreal,Canada
1992,8,French Grand Prix,1992-07-05,Unknown,Circuit de Nevers Magny-Cours,Magny Cours,France
1992,9,British Grand Prix,1992-07-12,Unknown,Silverstone Circuit,Silverstone,UK
1992,10,German Grand Prix,1992-07-26,Unknown,Hockenheimring,Hockenheim,Germany
1992,11,Hungarian Grand Prix,1992-08-16,Unknown,Hungaroring,Budapest,Hungary
1992,12,Belgian Grand Prix,1992-08-30,Unknown,Circuit de Spa-Francorchamps,Spa,Belgium
1992,13,Italian Grand Prix,1992-09-13,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1992,14,Portuguese Grand Prix,1992-09-27,Unknown,Autódromo do Estoril,Estoril,Portugal
1992,15,Japanese Grand Prix,1992-10-25,Unknown,Suzuka Circuit,Suzuka,Japan
1992,16,Australian Grand Prix,1992-11-08,Unknown,Adelaide Street Circuit,Adelaide,Australia
1993,1,South African Grand Prix,1993-03-14,Unknown,Kyalami,Midrand,South Africa
1993,2,Brazilian Grand Prix,1993-03-28,Unknown,Autódromo José Carlos Pace,São Paulo,Brazil
1993,3,European Grand Prix,1993-04-11,Unknown,Donington Park,Castle Donington,UK
1993,4,San Marino Grand Prix,1993-04-25,Unknown,Autodromo Enzo e Dino Ferrari,Imola,Italy
1993,5,Spanish Grand Prix,1993-05-09,Unknown,Circuit de Barcelona-Catalunya,Montmeló,Spain
1993,6,Monaco Grand Prix,1993-05-23,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1993,7,Canadian Grand Prix,1993-06-13,Unknown,Circuit Gilles Villeneuve,Montreal,Canada
1993,8,French Grand Prix,1993-07-04,Unknown,Circuit de Nevers Magny-Cours,Magny Cours,France
1993,9,British Grand Prix,1993-07-11,Unknown,Silverstone Circuit,Silverstone,UK
1993,10,German Grand Prix,1993-07-25,Unknown,Hockenheimring,Hockenheim,Germany
1993,11,Hungarian Grand Prix,1993-08-15,Unknown,Hungaroring,Budapest,Hungary
1993,12,Belgian Grand Prix,1993-08-29,Unknown,Circuit de Spa-Francorchamps,Spa,Belgium
1993,13,Italian Grand Prix,1993-09-12,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1993,14,Portuguese Grand Prix,1993-09-26,Unknown,Autódromo do Estoril,Estoril,Portugal
1993,15,Japanese Grand Prix,1993-10-24,Unknown,Suzuka Circuit,Suzuka,Japan
1993,16,Australian Grand Prix,1993-11-07,Unknown,Adelaide Street Circuit,Adelaide,Australia
1994,1,Brazilian Grand Prix,1994-03-27,Unknown,Autódromo José Carlos Pace,São Paulo,Brazil
1994,2,Pacific Grand Prix,1994-04-17,Unknown,Okayama International Circuit,Okayama,Japan
1994,3,San Marino Grand Prix,1994-05-01,Unknown,Autodromo Enzo e Dino Ferrari,Imola,Italy
1994,4,Monaco Grand Prix,1994-05-15,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1994,5,Spanish Grand Prix,1994-05-29,Unknown,Circuit de Barcelona-Catalunya,Montmeló,Spain
1994,6,Canadian Grand Prix,1994-06-12,Unknown,Circuit Gilles Villeneuve,Montreal,Canada
1994,7,French Grand Prix,1994-07-03,Unknown,Circuit de Nevers Magny-Cours,Magny Cours,France
1994,8,British Grand Prix,1994-07-10,Unknown,Silverstone Circuit,Silverstone,UK
1994,9,German Grand Prix,1994-07-31,Unknown,Hockenheimring,Hockenheim,Germany
1994,10,Hungarian Grand Prix,1994-08-14,Unknown,Hungaroring,Budapest,Hungary
1994,11,Belgian Grand Prix,1994-08-28,Unknown,Circuit de Spa-Francorchamps,Spa,Belgium
1994,12,Italian Grand Prix,1994-09-11,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1994,13,Portuguese Grand Prix,1994-09-25,Unknown,Autódromo do Estoril,Estoril,Portugal
1994,14,European Grand Prix,1994-10-16,Unknown,Circuito de Jerez,Jerez de la Frontera,Spain
1994,15,Japanese Grand Prix,1994-11-06,Unknown,Suzuka Circuit,Suzuka,Japan
1994,16,Australian Grand Prix,1994-11-13,Unknown,Adelaide Street Circuit,Adelaide,Australia
1995,1,Brazilian Grand Prix,1995-03-26,Unknown,Autódromo José Carlos Pace,São Paulo,Brazil
1995,2,Argentine Grand Prix,1995-04-09,Unknown,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina
1995,3,San Marino Grand Prix,1995-04-30,Unknown,Autodromo Enzo e Dino Ferrari,Imola,Italy
1995,4,Spanish Grand Prix,1995-05-14,Unknown,Circuit de Barcelona-Catalunya,Montmeló,Spain
1995,5,Monaco Grand Prix,1995-05-28,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1995,6,Canadian Grand Prix,1995-06-11,Unknown,Circuit Gilles Villeneuve,Montreal,Canada
1995,7,French Grand Prix,1995-07-02,Unknown,Circuit de Nevers Magny-Cours,Magny Cours,France
1995,8,British Grand Prix,1995-07-16,Unknown,Silverstone Circuit,Silverstone,UK
1995,9,German Grand Prix,1995-07-30,Unknown,Hockenheimring,Hockenheim,Germany
1995,10,Hungarian Grand Prix,1995-08-13,Unknown,Hungaroring,Budapest,Hungary
